Number,Green Foci,Red Foci
1,14,3
1,17,14
1,50,5
1,18,24
1,8,33
1,22,13
1,16,5
1,47,55
1,3,1
2,46,41
2,8,33
2,8,38
2,57,16
2,17,32
2,9,23
2,10,31
2,27,23
2,8,30
2,4,35
2,11,22
2,57,29
3,29,39
7,49,40
7,54,28
7,43,36
7,3,17
7,73,24
7,50,38
7,1,10
7,1,9
8,39,32
8,49,25
8,44,38
8,40,31
8,10,24
8,57,39
8,14,12
9,43,36
9,40,24
9,11,27
10,66,9
10,47,24
10,10,41
10,13,69
11,36,20
11,50,30
11,13,58
11,37,34
12,20,44
12,19,31
12,52,16
12,58,49
12,30,34
12,40,40
13,42,47
13,35,47
13,35,45
13,8,23
13,42,42
13,28,5
13,10,17
14,62,40
14,14,36
14,3,20
15,22,38
15,54,43
15,21,13
15,29,27
16,31,7
16,69,76
17,35,34
18,4,38
18,26,33
18,6,57
18,37,2
18,32,28
18,63,14
19,25,9
19,15,19
19,30,39
19,87,45
19,45,44
19,10,40
19,18,40
19,25,36
20,20,1
20,9,32
20,44,46
23,10,26
23,47,25
23,23,43
24,5,24
24,53,39
25,48,28
25,37,45
25,3,18
25,14,2
25,27,28
26,42,46
26,37,49
26,51,36
26,33,7
27,56,31
27,19,30
27,19,29
27,62,23
27,14,31
27,15,7
27,34,18
27,45,11
27,2,10
27,5,14
27,4,8
28,28,31
28,42,36
28,33,36
28,47,9
28,22,22
28,11,16
28,4,14
28,14,12
29,50,59
29,41,28
29,42,45
29,1,25
29,66,6
30,27,30
31,41,67
31,45,19
32,39,55
32,26,7
32,57,54
32,36,51
33,27,20
33,32,41
34,31,29
35,15,82
35,14,11
35,59,23
35,14,27
36,13,44
36,52,37
36,63,10
36,14,52
36,36,13
36,13,20
36,4,30
37,22,32
37,32,43
37,36,13
38,7,38
38,43,36
38,51,22
40,26,36
40,12,17
41,18,23
43,1,21
43,10,21
43,41,4
43,9,14
44,12,20
44,23,6
45,23,22
46,10,25
46,42,37
46,56,8
46,7,21
46,20,10
46,1,11
46,21,17
47,44,39
47,55,20
47,27,34
47,43,25
47,7,18
47,19,22
47,22,25
48,32,38
48,53,29
48,33,31
48,4,10
49,19,20
49,62,27
49,8,30
49,43,26
49,17,34
50,0,18
50,68,90
50,26,21
50,59,11
51,29,22
52,22,29
52,30,38
52,36,23
53,63,35
53,0,13
54,23,52
54,31,28
54,34,33
54,30,30
54,12,6
55,25,51
55,53,18
55,37,53
56,14,33
56,57,38
56,64,67
56,17,32
57,33,37
58,38,39
58,38,38
58,16,27
58,14,26
58,39,31
59,18,29
59,50,52
59,16,24
59,23,39
59,40,30
59,28,17
60,21,34
60,17,16
61,2,37
61,19,2
61,1,41
61,17,0
61,17,1
62,31,29
62,27,6
62,30,52
63,37,12
63,10,27
63,0,28
63,15,1
63,0,23
63,2,3
63,0,17
64,44,12
64,0,16
64,27,15
64,9,5
64,5,41
64,5,3
64,0,8
65,5,18
65,0,1
65,43,25
65,7,21
65,53,4
65,8,12
65,4,13
65,1,3
66,14,16
67,28,26
68,15,31
68,43,5
68,19,25
69,8,8
69,2,6
70,43,39
70,18,42
70,48,22
70,30,11
70,20,42
71,15,35
71,44,39
72,37,65
72,65,24
72,39,28
72,28,47
72,13,44
73,23,11
73,15,37
73,37,52
73,33,10
74,14,23
75,45,22
75,45,24
75,7,37
75,38,46
75,14,18
75,45,48
76,26,3
76,30,37
76,19,37
76,4,34
77,18,23
78,42,12
78,33,39
78,24,31
78,11,36
79,4,54
79,38,55
79,28,33
79,17,11
79,50,29
80,15,39
80,35,21
80,52,26
80,49,49
80,7,31
81,9,22
81,14,14
81,15,8
82,41,49
82,10,5
83,18,32
83,45,30
84,26,10
84,34,60
84,25,30
84,19,30
84,41,16
85,25,50
85,25,14
86,29,39
86,17,38
86,55,36
86,2,29
87,42,30
87,23,17
87,32,41
87,33,20
87,28,49
87,23,31
87,30,38
88,30,36
88,54,11
88,8,63
89,38,51
89,30,21
89,34,3
89,36,37
89,9,37
90,37,1
90,20,55
90,35,19
91,43,18
91,14,28
91,2,32
92,35,31
93,16,29
93,37,13
93,29,48
93,29,19
93,28,23
93,6,37
94,34,53
94,19,13
95,47,46
95,56,61
95,38,39
95,20,8
95,7,37
96,33,47
96,28,38
96,0,1
96,38,39
96,30,36
96,35,29
97,19,22
98,81,35
98,101,133
98,3,26
98,0,1
98,3,68
98,8,0
98,5,0
98,58,148
98,48,0
98,44,20
98,44,9
98,40,0
98,25,12
98,2,0
99,25,34
99,9,18
100,16,18
100,33,51
101,37,33
101,0,4
101,33,30
101,22,20
101,0,17
102,43,40
102,9,17
102,42,41
102,33,25
102,10,21
103,10,8
103,79,101
103,52,56
104,35,16
104,50,59
104,12,32
104,13,29
104,20,24
105,52,8
105,27,44
105,27,35
105,11,25
105,17,33
105,28,43
105,29,35
106,47,47
106,44,48
106,31,20
107,13,15
107,25,28
107,14,13
108,37,26
108,31,49
109,95,57
109,32,38
109,12,42
109,29,23
109,12,4
109,17,6
109,27,26
109,23,17
109,9,19
110,43,41
111,1,3
111,1,0
111,59,36
111,2,2
111,42,66
111,107,95
111,12,7
111,96,126
111,11,14
112,15,21
112,57,42
112,12,34
112,42,39
113,32,45
113,21,11
114,45,48
114,44,41
114,10,31
114,21,35
114,3,28
114,49,20
114,11,37
114,28,1
115,4,41
115,117,49
115,22,45
115,1,17
117,34,54
118,32,32
119,41,36
119,15,26
119,17,17
120,33,6
120,11,24
122,22,21
123,21,27
124,35,32
124,30,48
124,31,21
125,21,22
126,35,39
127,31,39
128,17,34
129,32,2
129,6,5
129,61,15
129,51,59
129,61,9
129,20,74
129,95,27
129,47,8
129,25,50
129,33,25
129,17,0
129,23,27
129,0,0
129,4,54
129,8,8
130,12,38
130,36,22
130,33,14
130,31,38
131,41,79
131,22,7
131,26,44
133,46,34
133,3,31
134,56,0
134,20,43
134,41,56
134,29,6
134,15,49
134,40,34
134,17,6
134,18,40
135,28,44
135,35,29
136,29,37
137,34,29
138,3,24
138,21,40
139,28,39
139,42,30
139,25,38
140,40,56
141,32,17
141,1,23
141,7,37
142,4,13
142,36,12
142,62,50
142,12,35
142,56,12
143,44,45
143,41,40
143,47,51
143,28,23
143,5,25
144,36,37
145,21,35
145,102,78
145,6,31
145,13,35
145,44,25
147,8,29
147,58,54
147,44,44
148,40,40
148,53,14
148,13,49
149,24,22
149,30,28
149,7,36
149,19,23
150,60,68
150,51,9
150,14,30
150,18,42
150,17,23
151,47,8
151,16,42
151,20,31
151,48,78
152,31,45
152,32,29
153,17,46
153,0,33
153,45,0
154,12,10
154,17,47
154,52,43
154,22,21
155,53,18
155,37,57
155,37,82
155,20,21
156,16,42
156,25,33
156,49,28
156,34,28
157,30,41
157,29,39
157,64,41
157,10,17
157,18,44
158,49,65
159,14,40
159,19,12
159,73,71
159,39,36
159,20,9
160,9,39
160,58,34
160,46,38
161,55,40
161,15,17
162,39,26
162,35,49
163,4,16
163,58,49
165,19,32
166,27,45
166,34,17
167,46,24
167,48,39
167,32,48
167,11,36
167,44,30
167,45,48
168,49,21
168,30,39
168,2,23
169,36,37
170,31,35
170,26,54
170,52,31
170,33,34
170,29,65
170,16,30
170,41,2
170,29,21
170,13,27
172,33,35
172,49,53
172,11,33
172,32,32
173,42,64
173,32,28
173,75,76
173,45,61
173,0,0
174,63,37
174,31,25
