model,method,n,lambda,pow_mean,pow_sd,uncomputable
pois,countfitteR,50,2,0.978,0.1467567291047928,0
pois,countfitteR,100,2,0.976,0.15312559370479986,0
pois,countfitteR,200,2,0.985,0.12161327966052798,0
pois,countfitteR,50,5,0.96,0.19605723255834873,0
pois,countfitteR,100,5,0.977,0.1499783100768024,0
pois,countfitteR,200,5,0.972,0.16505527329729044,0
pois,countfitteR,50,10,0.984,0.12553788177183714,0
pois,countfitteR,100,10,0.988,0.10893974420691407,0
pois,countfitteR,200,10,0.98,0.14007005254378832,0
pois,two-step,50,2,0.9808467741935484,0.1371325517167258,8
pois,two-step,100,2,0.988,0.10893974420691407,0
pois,two-step,200,2,0.98,0.14007005254378832,0
pois,two-step,50,5,0.9595959595959596,0.1972372655015753,703
pois,two-step,100,5,0.9759825327510917,0.15327074384764539,542
pois,two-step,200,5,0.9690860215053764,0.17320111189308482,256
pois,two-step,50,10,1,0,998
pois,two-step,100,10,0.3333333333333333,0.5773502691896257,997
pois,two-step,200,10,0.8571428571428571,0.36313651960128146,986
